iter	Logloss
0	0.08591612136
1	0.02715897534
2	0.0132314514
3	0.0106050192
4	0.009797913854
5	0.008002585782
6	0.006670532775
7	0.006077630013
8	0.005847142877
9	0.005321146145
10	0.005152951838
11	0.004982800326
12	0.004950082755
13	0.004707303921
14	0.004647137203
15	0.004563888217
16	0.004505883218
17	0.004295218486
18	0.00383268899
19	0.003765785997
20	0.003669586808
21	0.00363412595
22	0.003585777443
23	0.003481153859
24	0.003411912571
25	0.003277040074
26	0.003276921132
27	0.003276807785
28	0.003276804606
29	0.003276804844
30	0.003258649355
31	0.003219171527
32	0.003106843809
33	0.003035168151
34	0.002987828657
35	0.002987832106
36	0.002987824126
37	0.002987785914
38	0.002987785914
39	0.002987779127
40	0.002987817735
41	0.002962000111
42	0.002962016484
43	0.002962000842
44	0.002961979685
45	0.002961961278
46	0.002961946925
47	0.002961946925
48	0.00296193381
49	0.002961889763
50	0.002961861278
51	0.002961873263
52	0.002961839987
53	0.002961820054
54	0.002961805733
55	0.002961775452
56	0.002961770651
57	0.002961728942
58	0.002961739638
59	0.002961717734
60	0.002961737634
61	0.002961689265
62	0.002961666217
63	0.002961658968
64	0.002961658125
65	0.002961626223
66	0.002961597365
67	0.002961553606
68	0.002961553606
69	0.002961546326
70	0.002961517443
71	0.002961469454
72	0.002961479293
73	0.00296147694
74	0.002961477115
75	0.002961462491
76	0.00296140738
77	0.002961398447
78	0.002961306168
79	0.002961275775
80	0.002961222384
81	0.002961190704
82	0.002961150632
83	0.002961111767
84	0.002961102738
85	0.00289811865
86	0.002898072586
87	0.002898034756
88	0.002898018321
89	0.002897957872
90	0.002897957872
91	0.002897957872
92	0.002897957872
93	0.002897957872
94	0.002897957872
95	0.002897957872
96	0.002897957872
97	0.002897957872
98	0.002897957872
99	0.002897957872
